model,model_secondary,par_name,value,init,min,max,vary
conti_pl,conti_pl,pl_norm,0,0.01,0,1.00E+10,1
conti_pl,conti_pl,pl_slope1,-1.5,-1.5,-3,1,1
conti_pl,conti_pl,pl_slope2,-1.5,-1.5,-3,1,1
conti_fe_uv,conti_fe_uv,fe_uv_norm,0,0.01,0,1.00E+10,1
conti_fe_uv,conti_fe_uv,fe_uv_fwhm,3000,3000,1200,10000,1
conti_fe_uv,conti_fe_uv,fe_uv_shift,0,0,-0.01,0.01,1
conti_fe_op,conti_fe_op,fe_op_norm,0,0.01,0,1.00E+10,1
conti_fe_op,conti_fe_op,fe_op_fwhm,3000,3000,1200,10000,1
conti_fe_op,conti_fe_op,fe_op_shift,0,0,-0.01,0.01,1
conti_balmer,conti_balmer,balmer_norm,0,0.01,0,1.00E+10,0
conti_balmer,conti_balmer,balmer_te,15000,15000,10000,50000,0
conti_balmer,conti_balmer,balmer_tau_e,0.5,0.5,0.1,2,0
conti_host,conti_host,host_factor,0,1,0.5,2,0
conti_host,host_young,age_young,0.2,0.2,0.05,2,1
conti_host,host_old,age_old,2,2,0.3,13,1
conti_host,conti_host,m_s,1.00E+10,1.00E+10,0,1.00E+14,1
conti_host,conti_host,f_old,0.5,0.5,0,1,1
conti_host,host_av,a_v,0.7,0.7,0,5,1
conti_host,host_sigma,sigma,69,200,40,500,1
conti_host,conti_host,host_shift,0,0,-0.01,0.01,1
